timestamp,pos_x,pos_y,pos_z,yaw,yaw_rate,yaw_cmd,flag
1612940510617745920,16.46053696,56.6952095,-4.99131441,0.87297832,-0.00184429,0.0,0
1612940510716748032,16.58127213,56.84569931,-4.99155283,0.87282709,-0.0012355,-0.11328125,0
1612940510818750208,16.70599174,57.0006485,-4.99177933,0.87245277,-0.01393266,-0.25683594,0
1612940510920752384,16.83102226,57.15550995,-4.99198914,0.86939817,-0.05356812,-0.27734375,0
1612940511022754560,16.95634079,57.3102417,-4.99218369,0.86115407,-0.10604415,-0.28320312,0
1612940511121756672,17.07824135,57.46033859,-4.99235725,0.84869962,-0.14342713,-0.30273438,0
1612940511223758848,17.20413017,57.61486816,-4.99252558,0.83256668,-0.17240529,-0.3046875,0
1612940511322760960,17.32666397,57.7646637,-4.99268293,0.81435534,-0.19415921,-0.30566406,0
1612940511424763136,17.45337486,57.9187088,-4.99284506,0.79371722,-0.20952274,-0.3046875,0
1612940511526765312,17.58069229,58.07232666,-4.99300718,0.7717848,-0.2197478,-0.29882812,0
1612940511625767424,17.7049942,58.22087097,-4.99317455,0.74969873,-0.22566958,-0.14746094,0
1612940511727769600,17.83396721,58.37318039,-4.99335289,0.7267362,-0.21495579,-0.046875,0
1612940511829771776,17.96401405,58.52458572,-4.99354649,0.70668051,-0.17661658,0.0,0
1612940511928773888,18.09139633,58.67051697,-4.99374437,0.69168631,-0.12662639,0.0,0
1612940512030776064,18.2239666,58.81965637,-4.99395514,0.68110407,-0.08380374,0.0,0
1612940512132778240,18.35799217,58.96742249,-4.9941659,0.67409972,-0.05546197,0.0,0
1612940512234780416,18.49352264,59.11373138,-4.99436426,0.66946292,-0.03670521,0.0,0
1612940512336782592,18.63055992,59.25854111,-4.99452591,0.66639282,-0.0242919,0.0,0
1612940512537786880,18.90484047,59.53966904,-4.99471426,0.66304532,-0.01076978,0.0,0
1612940512636788992,19.04187584,59.67617416,-4.99474764,0.66216435,-0.00721473,0.0,0
1612940512738791168,19.18430519,59.81554413,-4.9947505,0.66155913,-0.00477492,0.0,0
1612940512837793280,19.32367325,59.94965363,-4.99472809,0.66116737,-0.0031988,0.0,0
